"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.866505041693","0.866359485945","0.863280056014","0.87088007296","0.861273049186","0.860883022622"
"1","0.883902503859","0.8771027635","0.874766915488","0.874230189345","0.861100315239","0.858057912709"
"2","0.89043935165","0.885811984796","0.881638473368","0.863436011132","0.857624044565","0.849781880368"
"3","0.902972864434","0.903384540851","0.900561459439","0.869401959476","0.865429459775","0.862315890217"
"4","0.908110356861","0.908083593073","0.905849069611","0.86879374312","0.872749060759","0.866730877874"
"5","0.918858516922","0.919109747294","0.916908637041","0.868759024341","0.867199982727","0.864221941795"
"6","0.924986870726","0.925155984552","0.922904173184","0.868206698979","0.869359157058","0.865294112248"
"7","0.930674262046","0.930561222478","0.928651127191","0.86509501962","0.861575333592","0.859375082565"
"8","0.936034606171","0.935809932633","0.933931073761","0.863322067364","0.862449799197","0.859424413302"
"9","0.94028494197","0.940513813475","0.938508381998","0.864120873964","0.849635099538","0.851921505245"
