"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.856803034994","0.856268072117","0.852464102079","0.85896567902","0.849116897698","0.849374943201"
"1","0.887521427556","0.883786781008","0.883470388613","0.877622434222","0.868873342834","0.869491392263"
"2","0.894326505588","0.883946125475","0.880558672138","0.877193611356","0.863518590491","0.859587777373"
"3","0.910527785389","0.909088750844","0.908468056485","0.885404988598","0.871345597444","0.873700812314"
"4","0.921596847935","0.921221061476","0.920818047717","0.885414735329","0.878600423198","0.879014197704"
"5","0.927422793393","0.926772365163","0.92615586632","0.886676513307","0.879820356696","0.880016959052"
"6","0.935255078054","0.93501884369","0.934390275157","0.885191161047","0.877758345209","0.877988427577"
"7","0.941909873296","0.941679120483","0.94069287823","0.882562550143","0.870471131839","0.871846523415"
"8","0.945048720706","0.944247946428","0.943083320781","0.877029660261","0.868344345122","0.866215310718"
"9","0.951127618156","0.951201561898","0.949890501345","0.878110995425","0.865796519411","0.867326300642"
"10","0.955834003289","0.955486559938","0.954175015911","0.875850786237","0.866055620331","0.865927903795"
