"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.81986533103","0.824494544062","0.817185993778","0.831774752579","0.824685840135","0.821160261315"
"1","0.837764834039","0.825603114782","0.820795156587","0.862457242867","0.821652200199","0.829830578793"
"2","0.866242876787","0.863578603096","0.860134946969","0.870905741689","0.860074707432","0.858316476179"
"3","0.874093657013","0.873276886763","0.871264554009","0.879491580705","0.860722459731","0.864889708115"
"4","0.882816926868","0.883424232109","0.882014811161","0.882120541086","0.87672194153","0.876159492912"
"5","0.885777899955","0.883906691743","0.88361027437","0.875399429255","0.865256725828","0.866275628145"
"6","0.889163599972","0.888875744312","0.886738169032","0.87682095733","0.87100012955","0.867900214595"
"7","0.88348191026","0.882922055608","0.88005822604","0.867806326877","0.856566049143","0.855429694368"
"8","0.889362167648","0.88432275785","0.880362360843","0.864704881839","0.856080234918","0.849726178546"
"9","0.895596555146","0.896180641901","0.893853676167","0.870695678363","0.865094787753","0.863430757363"
