"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.789378702356","0.792578974095","0.778361616794","0.810992398705","0.789350952196","0.783616701603"
"1","0.831168985945","0.834587969815","0.82864676612","0.842943348033","0.843265535259","0.837657667407"
"2","0.845788812888","0.84498479387","0.841864785579","0.854204027326","0.842855292136","0.843830939708"
"3","0.859060798506","0.858984975748","0.856083714667","0.864737742411","0.862179902405","0.859645297031"
"4","0.860516647522","0.861138540356","0.858273008415","0.867079093077","0.860549725785","0.859627679723"
"5","0.868547213484","0.868552484285","0.866879264198","0.876791250257","0.860765643218","0.863976458665"
"6","0.871927072311","0.872767869717","0.870751253684","0.87064956691","0.860117890919","0.859807660164"
"7","0.871399318096","0.872819777385","0.870057163109","0.866378657519","0.8538778771","0.853361672774"
"8","0.87024758279","0.867105105381","0.864947562022","0.862319532681","0.835114652157","0.839183608812"
"9","0.87111143372","0.864843299203","0.859397975573","0.85282737535","0.844787753163","0.836143673458"
"10","0.875588174606","0.873964965141","0.870989650314","0.862357937361","0.86481409509","0.858039767143"
