"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.846684664499","0.847400311124","0.844270269403","0.859645533968","0.852722718832","0.852024728002"
"1","0.863499504276","0.862840226591","0.860713127555","0.867859705018","0.853640367923","0.853510572812"
"2","0.870124344452","0.871043247537","0.868286204311","0.872687835649","0.864511810684","0.861644615805"
"3","0.869743766941","0.867364241331","0.865124485466","0.860790414326","0.847141253185","0.845613741197"
"4","0.881054046154","0.881657761886","0.878984645394","0.864279046781","0.863259489571","0.858742812565"
"5","0.883566253151","0.884613682217","0.881876525909","0.867373134066","0.864263505635","0.860934942762"
"6","0.885682003364","0.885621254298","0.883247591142","0.864192236774","0.864112363432","0.858742372772"
"7","0.886105893059","0.885015262464","0.882616719835","0.87268074873","0.869229606598","0.865786158076"
"8","0.893379655176","0.893416256838","0.891274259839","0.86892971516","0.871982553871","0.866697195965"
"9","0.895504370584","0.895788718895","0.892938061931","0.86333882472","0.863885650127","0.85876086404"
"10","0.898747516326","0.898642835816","0.896411240396","0.871071719826","0.873904219027","0.868218707796"
"11","0.899988025975","0.900466847096","0.897732011415","0.868350927165","0.868560262556","0.863507703435"
"12","0.902866448625","0.902973705749","0.900935214056","0.866001733765","0.865893682256","0.862099050716"
"13","0.903516233647","0.903475882249","0.900974464722","0.867844890649","0.865969253358","0.861858177102"
"14","0.905465308726","0.905775110233","0.903782606179","0.870696960518","0.872317225893","0.867743178471"
"15","0.903180173351","0.903706046479","0.900931907457","0.86325115649","0.861283845058","0.857047066204"
