"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.8187709899","0.819424090469","0.812525719364","0.825157328729","0.818812885952","0.809442880485"
"1","0.84485046991","0.846603588791","0.843648525212","0.851665177805","0.842930863238","0.840777952549"
"2","0.853631504996","0.851052759919","0.845798578071","0.845421696425","0.846191216479","0.83678852614"
"3","0.856420374741","0.857594333131","0.854017142207","0.854851978663","0.855324523902","0.849569839759"
"4","0.862065062875","0.85646081454","0.850198925979","0.847913267368","0.845651422896","0.835887766818"
"5","0.868262860523","0.869076791961","0.866217013358","0.860265830276","0.861121906983","0.856272322503"
"6","0.869644527751","0.867760590572","0.863804538385","0.854480200958","0.85869283586","0.849972835344"
"7","0.872025755965","0.872569091519","0.868807812648","0.855558046994","0.863021980395","0.854959027388"
"8","0.876405533076","0.876374849005","0.873004834534","0.856754070025","0.857008679881","0.85083553624"
"9","0.878413545552","0.878909874609","0.876225521079","0.856910190198","0.855054627111","0.850984554072"
"10","0.881053755826","0.881690757458","0.878675472935","0.86038327979","0.860538929913","0.855491542303"
