"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.81753598895","0.821961530383","0.814367878128","0.830743001712","0.827255257589","0.821811847429"
"1","0.858107586157","0.859972428579","0.856024626768","0.857310394414","0.85400742756","0.851412643352"
"2","0.877796729512","0.875541509636","0.874258053455","0.868363598635","0.861769659282","0.860686444322"
"3","0.879381048021","0.875709706573","0.874589964931","0.866702890647","0.85563760418","0.854573315242"
"4","0.895515362139","0.894639104903","0.893323654072","0.877156940135","0.868625037786","0.868006803246"
"5","0.902464835201","0.900623374868","0.899637112141","0.871560243321","0.864932849678","0.86267222769"
"6","0.90769490503","0.907062742286","0.9065249966","0.877117785425","0.862061147817","0.865216399972"
"7","0.907414876783","0.906200833581","0.905290938466","0.871537877744","0.845651422896","0.851353828616"
"8","0.91466102356","0.912621691289","0.912000219186","0.872913453011","0.867707388695","0.865505059821"
"9","0.916932027495","0.915209026945","0.913492165448","0.868397946928","0.855605216565","0.85329235571"
