"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.773509134884","0.776253811592","0.76046856568","0.781996574402","0.784611564538","0.763473716589"
"1","0.801423807806","0.799045703695","0.787412044292","0.811988561987","0.800859351384","0.786216519464"
"2","0.813316907121","0.816203400797","0.809362829145","0.823919623862","0.82009759468","0.81591248271"
"3","0.816953165984","0.820160857434","0.812538481602","0.81870718938","0.821382303407","0.812378808085"
"4","0.825880920125","0.826751924004","0.821122345495","0.832631292304","0.82862633329","0.823840202976"
"5","0.827728889391","0.824311458879","0.815352738777","0.827217012392","0.817387830893","0.808890598596"
"6","0.833122109723","0.835141249212","0.830565278418","0.841936648464","0.842196743965","0.836369943046"
"7","0.833146423226","0.835874394712","0.830660954208","0.835325048222","0.840188711837","0.832208443502"
"8","0.835859394806","0.833025106411","0.826006206387","0.83258180912","0.823260785076","0.816353625513"
"9","0.835573919152","0.836330296936","0.829808453805","0.840965749749","0.833560046638","0.828612074375"
"10","0.838157430693","0.837873443474","0.831514561104","0.838249529026","0.836496523729","0.828008532343"
"11","0.841736639214","0.839881344706","0.834228149479","0.844802937239","0.838752860906","0.832147030333"
