"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.7747309018","0.76105975337","0.740984847028","0.775985201919","0.785118970506","0.756933953207"
"1","0.813378810724","0.816359123799","0.809759731762","0.825651476039","0.823606252969","0.817971472027"
"2","0.833416543304","0.835391130308","0.829776702049","0.849323291653","0.842822904521","0.83965545186"
"3","0.840328087709","0.836954798482","0.83305553725","0.856057894666","0.82856155806","0.835221394838"
"4","0.84890245692","0.83788269833","0.829798930308","0.852376214237","0.822710195621","0.817792059475"
"5","0.857570568369","0.856363437366","0.852466953765","0.866528090943","0.854536425271","0.852930370012"
"6","0.845680189364","0.835983843437","0.830865944661","0.859537155387","0.808351686315","0.817042041023"
"7","0.861202747574","0.858493261258","0.85448829396","0.861557295688","0.851286867902","0.844940412262"
"8","0.860420090568","0.855500321506","0.849931246543","0.85625360957","0.846795785292","0.838020816238"
"9","0.858455693343","0.855090291174","0.851607075303","0.854789344649","0.846288379324","0.842787361889"
"10","0.86336094982","0.855397310941","0.849729434671","0.855309509398","0.848577104115","0.838073083765"
