"Epoch","Training Accuracy","Training Recall","Training F1","Testing Accuracy","Testing Recall","Testing F1"
"0","0.818531329554","0.812371488285","0.807835920574","0.847049906606","0.814408170316","0.823466479764"
"1","0.866635846697","0.863892865794","0.862214923194","0.866321200242","0.857580861079","0.856260460118"
"2","0.878692082781","0.876067829237","0.874642267013","0.881177718234","0.868452303839","0.869617978092"
"3","0.882753046379","0.874826471462","0.875468836917","0.87768645102","0.852776698191","0.856853121292"
"4","0.889674348322","0.887433998798","0.885728784147","0.881607422886","0.872533143326","0.870746091375"
"5","0.894371155284","0.891718594453","0.890515818423","0.885325424549","0.871485943775","0.872862003609"
"6","0.898831363873","0.895994740023","0.894055817013","0.879329828185","0.868959709807","0.867349238145"
"7","0.902946004368","0.902907312221","0.901663194101","0.886501310526","0.877931079155","0.877461651017"
"8","0.896987296116","0.896221685172","0.893037220481","0.881674161178","0.870762620374","0.868253113297"
"9","0.903120215778","0.903230427389","0.900792899496","0.878497288914","0.874357645636","0.870502187547"
"10","0.905830623839","0.906853904463","0.904270166266","0.876030168893","0.869283585957","0.867794225588"
"11","0.912219771093","0.911225817666","0.90875983324","0.874843424686","0.877877099797","0.870891871223"
"12","0.911114096983","0.911225415281","0.90915545742","0.873105025565","0.865019216652","0.864692658269"
